Platform,Category_Level,Category,Total_Records,Price_Filled,Rating_Filled,Review_Filled,Sold_Filled,Brand_Filled
Tiki,L2,Áo crop-top,2,2,0,0,0,2
Tiki,L2,Đồ bơi - Đồ đi biển nam,2,2,0,0,0,2
Tiki,L2,Thời trang nữ trung niên,2,2,0,0,1,2
Tiki,L2,"Đồ ngủ, đồ mặc nhà nam",2,2,0,0,0,2
Tiki,L2,Thời trang bầu và sau sinh,1,1,0,0,1,1
Lazada,L3,Áo bé gái,272,272,52,52,228,5
Lazada,L3,Áo hoodie bé trai,235,235,0,0,69,0
Lazada,L3,Túi Đeo Nam,168,168,106,108,0,70
Lazada,L3,Đèn Ngoài Trời,166,166,40,39,0,31
Lazada,L3,Đồ Thủ Công,161,161,53,51,0,45
Lazada,L3,Bút Viết Các Loại,155,155,88,86,0,63
Lazada,L3,Trắng da,146,146,96,96,131,12
Lazada,L3,Chăm Sóc Tay,143,143,78,78,113,40
Lazada,L3,Phụ kiện khác,140,140,4,4,119,0
Lazada,L3,Phụ Kiện Trường Học & Văn Phòng,138,138,43,44,0,35
Lazada,L3,Ốp lưng và bao da máy tính bảng,129,129,104,104,101,15
Lazada,L3,Mặt,129,129,11,11,106,1
Lazada,L3,Bộ sạc,126,126,79,79,109,16
Lazada,L3,Chuột,123,123,64,64,110,23
Lazada,L3,Bàn Làm Việc,121,121,41,41,0,44
Lazada,L3,Đèn Tường,119,119,87,86,0,32
Lazada,L3,Chăm Sóc Da Mặt,114,114,101,101,100,15
Lazada,L3,Bộ đồ lót nữ,96,96,40,40,66,11
Lazada,L3,Giày bốt,95,95,1,1,64,0
Lazada,L3,Áo ngực,94,94,61,61,89,28
Lazada,L3,Tắm & Chăm Sóc Cơ Thể,93,93,29,29,64,9
Lazada,L3,Áo thun bé trai,93,93,15,15,76,3
Lazada,L3,Dưỡng Da,91,91,44,44,75,4
Lazada,L3,Quần lót nữ,91,91,22,22,81,3
Lazada,L3,Máy Ảnh Kiểm Zoom,90,90,10,11,0,21
Lazada,L3,Giày đế bằng,84,84,44,44,64,6
Lazada,L3,Áo len và áo cardigan,84,84,56,56,61,17
Lazada,L3,Video,83,83,45,45,38,53
Lazada,L3,Quần short,81,81,21,21,79,10
Lazada,L3,Ví Nam,80,80,64,64,0,32
Lazada,L3,Giày đế xuồng,79,79,22,22,62,10
Lazada,L3,Gương,78,78,59,59,0,38
Lazada,L3,Bộ sạc không dây,78,78,31,31,57,15
Lazada,L3,Túi Trẻ Em (L3),78,78,0,0,55,0
Lazada,L3,Quần Short Nam,75,75,32,30,0,22
Lazada,L3,Quần lót bé trai,72,72,6,6,50,4
Lazada,L3,Phụ kiện đồ gia dụng,71,71,50,50,65,7
Lazada,L3,Phụ Kiện Âm Thanh Tại Nhà,70,70,49,49,0,16
Lazada,L3,Chăm Sóc Chân,67,67,57,57,57,8
Lazada,L3,Vòng Tay Thời Trang,63,63,49,49,49,11
Lazada,L3,Thảm Phòng Tắm,63,63,23,24,0,12
Lazada,L3,Máy giặt,60,60,16,16,30,22
Lazada,L3,Đồ gia dụng chăm sóc cá nhân,60,60,51,51,50,13
Lazada,L3,Máy Tính Để Bàn Chơi Game,60,60,19,18,0,25
Lazada,L3,Cáp & Dock sạc,60,60,30,30,38,24
Lazada,L3,Chăm Sóc Mặt,59,59,40,40,55,25
Lazada,L3,Máy lạnh,58,58,38,38,36,33
Lazada,L3,Đồng hồ bé gái,58,58,15,15,45,4
Lazada,L3,Đầm bé gái,58,58,0,0,51,0
Lazada,L3,Tạo Kiểu Tóc,57,57,41,41,53,20
Lazada,L3,Nội Thất Phòng Giải Trí,57,57,16,16,0,5
Lazada,L3,Kem Dưỡng Ẩm,55,55,47,47,47,25
Lazada,L3,Đồng hồ thông minh & Phụ kiện,55,55,7,7,26,29
Lazada,L3,Laptop Cơ Bản,55,55,22,22,0,29
Lazada,L3,Quần đùi bé trai,50,50,13,13,46,3
Lazada,L3,Áo mưa bé trai,49,49,12,12,31,9
Lazada,L3,Tinh Chất Dưỡng Da,49,49,42,42,38,14
Lazada,L3,Phụ Kiên Tai Nghe,49,49,13,14,0,32
Lazada,L3,Bộ sạc có dây,48,48,40,40,43,10
Lazada,L3,Áo hai dây,47,47,42,42,40,14
Lazada,L3,Phụ kiện tóc nữ,46,46,41,41,44,18
Lazada,L3,Thiết Bị Theo Dõi Sức Khỏe,44,44,18,18,28,13
Lazada,L3,Đồ lót và đồ ngủ,44,44,0,0,28,0
Lazada,L3,Trang Sức Đính Hôn,44,44,32,33,13,22
Lazada,L3,Thiết Bị Phòng Tắm,44,44,19,19,0,24
Lazada,L3,Cân Sức Khoẻ,43,43,19,19,0,1
Lazada,L3,Tranh & Khung Ảnh,43,43,8,8,0,0
Lazada,L3,Nhẫn Nam,43,43,21,21,0,33
Lazada,L3,Dòng 2 Trong 1,43,43,7,8,0,21
Lazada,L3,Các Loại Máy Ảnh Khác & Phụ Kiên,41,41,4,4,0,5
Lazada,L3,Quần dài bé trai,41,41,5,5,32,0
Lazada,L3,Thiết Bị Âm Thanh Di Động,41,41,3,3,0,4
Lazada,L3,Hạt Giống Hoa Quả,40,40,17,17,0,0
Lazada,L3,Ví Đựng Thẻ Cho Nam,40,40,19,19,0,5
Lazada,L3,Dụng Cụ Lau Chùi,40,40,15,17,0,14
Lazada,L3,Dụng Cụ An Toàn Lao Động,40,40,3,3,0,25
Lazada,L3,Giày Bốt,40,40,0,0,0,7
Lazada,L3,Dụng Cụ Điện Ngoài Trời & Là...,40,40,2,2,0,22
Lazada,L3,Gối,40,40,19,19,0,3
Lazada,L3,Nội Thất Phòng Làm Việc,40,40,12,12,0,14
Lazada,L3,Âm Thanh Tại Nhà,40,40,7,7,0,17
Lazada,L3,Nồi & Chảo,40,40,17,17,0,20
Lazada,L3,Áo Hoodie Nam,40,40,28,27,0,23
Lazada,L3,Vòng Tay Nam,40,40,33,31,0,34
Lazada,L3,Các Loại Tai Nghe,40,40,4,4,0,0
Lazada,L3,Cà Vạt,40,40,24,24,0,17
Lazada,L3,Bảo Vệ Nhà Cửa,40,40,31,31,0,13
Lazada,L3,Chứa Đồ Nhà Bếp & Phụ Kiện,40,40,26,28,0,23
Lazada,L3,Quần Jean Nam,40,40,18,18,0,3
Lazada,L3,Quần Lọt Khe,40,40,26,26,0,5
Lazada,L3,Đồ Dùng Làm Vườn,40,40,23,23,0,7
Lazada,L3,Đồ Dùng Nhà Bếp Đặc Biệt,40,40,29,25,0,10
Lazada,L3,Đồ Dùng Uống Nước,40,40,17,17,0,21
Lazada,L3,Bình Giữ Nhiệt,40,40,24,24,0,13
Lazada,L3,Ổ Cắm Điện,40,40,32,32,0,31
Lazada,L3,Đồ Lót Tam Giác Nam,40,40,21,23,0,24
Lazada,L3,Đồ Bơi Nam,40,40,21,22,0,13
Lazada,L3,Máy Quay Phim,39,39,3,3,0,8
Lazada,L3,Dụng Cụ May Vá,39,39,22,22,0,1
Lazada,L3,Phụ Kiện Giường Ngủ,39,39,14,14,0,9
Lazada,L3,Áo Choàng Tắm,38,38,15,15,0,18
Lazada,L3,Phụ kiện giày,37,37,33,33,32,8
Lazada,L3,Chăm Sóc Mắt,37,37,31,31,28,14
Lazada,L3,Phụ Kiện Làm Thơm Phòng,36,36,20,20,0,5
Lazada,L3,Đồ ngủ bé trai,36,36,18,18,33,4
Lazada,L3,Vớ và quần vớ,36,36,7,7,6,16
Lazada,L3,Giấy In Các Loại,35,35,14,14,0,9
Lazada,L3,Vòng Cổ Thời Trang,35,35,25,25,21,7
Lazada,L3,Thực Phẩm Sắc Đẹp,35,35,25,25,26,11
Lazada,L3,Cáp & Bộ sạc,35,35,29,29,32,6
Lazada,L3,Mặt Dây Chuyền Nam,34,34,5,5,0,3
Lazada,L3,Phụ kiện tóc,34,34,26,26,31,10
Lazada,L3,USB Hub,34,34,30,30,25,10
Lazada,L3,Găng tay nữ,33,33,32,32,32,3
Lazada,L3,Bông Tai Thời Trang,33,33,29,29,30,7
Lazada,L3,Áo form dài,32,32,0,0,25,0
Lazada,L3,Gói Khuyến Mãi,32,32,16,16,24,7
Lazada,L3,Nhẫn Thời Trang,32,32,31,31,30,1
Lazada,L3,Sữa Dưỡng Thể,31,31,27,27,25,15
Lazada,L3,Nệm,31,31,25,25,0,9
Lazada,L3,Case máy tính,31,31,9,9,6,22
Lazada,L3,Dưỡng Da Chuyên Sâu,31,31,27,27,25,18
Lazada,L3,Miếng lót chuột,30,30,2,2,25,1
Lazada,L3,Dao Bếp Và Phụ Kiện,30,30,19,19,0,4
Lazada,L3,Giày lười bé trai,30,30,0,0,15,0
Lazada,L3,Dock sạc & Giá đỡ,30,30,27,27,27,9
Lazada,L3,Tẩy Trang,30,30,28,28,29,25
Lazada,L3,Máy Ảnh Dslr,29,29,1,1,0,3
Lazada,L3,Tẩy Tế Bào Chết,29,29,26,26,26,8
Lazada,L3,Thiết bị studio,29,29,0,0,15,0
Lazada,L3,Máy Ảnh Không Gương Lật,28,28,6,10,0,21
Lazada,L3,Nguồn máy tính,27,27,16,16,19,10
Lazada,L3,Tay cầm chơi game,27,27,17,17,16,5
Lazada,L3,Giày sneaker bé trai,27,27,0,0,22,0
Lazada,L3,Dụng Cụ Mát Xa Chân,27,27,19,19,18,9
Lazada,L3,Dầu Xả,27,27,23,23,22,19
Lazada,L3,Ba Lô Trẻ Em,26,26,0,0,21,0
Lazada,L3,Áo Hoodies,26,26,15,15,21,5
Lazada,L3,Kem Chống Nắng,26,26,20,20,25,9
Lazada,L3,Dép & sandal bé trai,26,26,17,17,14,4
Lazada,L3,Phụ kiện thời trang khác,26,26,7,7,22,5
Lazada,L3,Phụ Kiện Túi Trẻ Em,26,26,3,3,8,4
Lazada,L3,Ví & Phụ Kiện,25,25,0,0,24,0
Lazada,L3,Pin máy ảnh,25,25,18,18,16,12
Lazada,L3,Chăm Sóc Da Mụn,25,25,20,20,21,6
Lazada,L3,Sữa Rửa Mặt,25,25,21,21,24,18
Lazada,L3,Máy sấy,24,24,21,21,22,3
Lazada,L3,Tay cầm chống rung,24,24,0,0,14,0
Lazada,L3,Thiết bị làm mát,24,24,16,16,17,5
Lazada,L3,Chăn Chần Gòn,24,24,12,12,0,9
Lazada,L3,"Găng tay, khăn choàng bé trai",24,24,0,0,10,0
Lazada,L3,Vỏ Gối,23,23,16,16,0,1
Lazada,L3,Máy Tính Nguyên Bô,23,23,4,4,0,10
Lazada,L3,Dưỡng Môi,23,23,1,1,23,0
Lazada,L3,Trang Sức Ngọc Bích,23,23,21,21,21,1
Lazada,L3,Mắt kính thông minh,23,23,15,15,16,13
Lazada,L3,Quần và chân váy,23,23,0,0,21,0
Lazada,L3,Camera Chống Trộm,23,23,7,6,0,6
Lazada,L3,Chăm sóc da mụn,22,22,20,20,20,8
Lazada,L3,Đồ Vest Nam,22,22,9,9,0,7
Lazada,L3,Áo khoác,22,22,5,5,22,1
Lazada,L3,Áo Len Và Cardigan Nam,22,22,5,4,0,8
Lazada,L3,Hộp Đựng Giấy Vệ Sinh,22,22,13,13,0,2
Lazada,L3,Đèn Trần,22,22,14,15,0,2
Lazada,L3,Giày Sneaker,22,22,3,4,0,6
Lazada,L3,Giày Công Sở,22,22,6,6,0,7
Lazada,L3,Trang Sức Thời Trang,21,21,10,10,4,9
Lazada,L3,Dây Đai Quần Nam,21,21,10,10,0,5
Lazada,L3,Chống Côn Trùng,21,21,19,19,21,3
Lazada,L3,Áo Polo Nam,21,21,7,6,0,1
Lazada,L3,Lọ & Bình Trang Trí,21,21,7,7,0,2
Lazada,L3,Camera Thể Thao & Hành Động,21,21,3,3,0,7
Lazada,L3,Cạo Râu Và Chăm Sóc,20,20,15,15,17,3
Lazada,L3,Máy dò kim loại,20,20,4,4,10,6
Lazada,L3,Phấn Má,20,20,14,14,17,11
Lazada,L3,Hệ Thống Tưới Nước,20,20,8,8,0,5
Lazada,L3,Chụp Đèn,20,20,5,5,0,11
Lazada,L3,Tẩy Lông,20,20,19,19,17,4
Lazada,L3,Chổi & Cây Lau Nhà,20,20,13,13,0,2
Lazada,L3,Đá Quý,19,19,15,15,16,0
Lazada,L3,Xịt Dưỡng Trang Điểm,19,19,12,12,12,3
Lazada,L3,Phụ kiện giày bé trai,19,19,0,0,11,0
Lazada,L3,Thảm,19,19,16,15,0,3
Lazada,L3,Phu Kiện Giày Dép,19,19,11,12,0,0
Lazada,L3,Chăm Sóc Tóc Chuyên Sâu,19,19,18,18,15,6
Lazada,L3,Thiết bị thực tế ảo,19,19,5,5,9,10
Lazada,L3,Cải Thiện & Chăm Sóc Cơ Thể,19,19,14,14,14,3
Lazada,L3,Giày đi học bé trai,18,18,0,0,16,0
Lazada,L3,Sơn Móng Tay,18,18,15,15,17,9
Lazada,L3,Máy Ảnh Du Lịch,18,18,1,3,0,8
Lazada,L3,Đồ bơi một mảnh,18,18,13,13,13,2
Lazada,L3,Nón bé trai,18,18,0,0,13,0
Lazada,L3,Rèm Phòng Tắm,18,18,7,7,0,9
Lazada,L3,Đèn Đứng,18,18,1,0,0,12
Lazada,L3,Cây & Hoa Giả,17,17,13,13,0,5
Lazada,L3,Đèn Trang Trí,17,17,13,13,0,1
Lazada,L3,Thẻ nhớ,17,17,12,12,12,5
Lazada,L3,Trang Trí Tường,17,17,11,11,0,1
Lazada,L3,Tinh Dầu Tắm,17,17,14,14,17,2
Lazada,L3,Đèn Bàn,17,17,5,5,0,12
Lazada,L3,Dụng Cụ Vẽ,17,17,6,6,0,5
Lazada,L3,Bộ Chăn Ga Gối,17,17,8,9,0,3
Lazada,L3,Trang Sức Kim Cương,17,17,0,0,6,0
Lazada,L3,Dụng Cụ Hàn Tiện,17,17,10,10,0,5
Lazada,L3,Unisex,17,17,17,17,17,1
Lazada,L3,Nữ,17,17,2,2,16,0
Lazada,L3,Kệ Phòng Tắm,17,17,13,13,0,0
Lazada,L3,Móc Treo & Kẹp Quần Áo,17,17,10,10,0,1
Lazada,L3,Nón thời trang nữ,16,16,16,16,15,9
Lazada,L3,Loa Di Động,16,16,10,10,0,2
Lazada,L3,Linh Kiện Đèn,16,16,8,8,0,3
Lazada,L3,Ren Ga Giường Chống Trượt,16,16,6,6,0,6
Lazada,L3,Chăm Sóc Chấn Thương,16,16,13,13,12,9
Lazada,L3,Mắt,16,16,15,15,16,3
Lazada,L3,Chăn Mền,16,16,10,10,0,1
Lazada,L3,Nam,16,16,13,13,15,11
Lazada,L3,Máy Bay Camera,16,16,0,0,0,6
Lazada,L3,Đồ gia dụng nhà bếp,16,16,15,15,15,5
Lazada,L3,Tất bé trai,16,16,12,12,13,3
Lazada,L3,Tăng Cơ,16,16,3,3,14,1
Lazada,L3,Gương Phòng Tắm,15,15,6,6,0,7
Lazada,L3,Phu Kiện Loa Di Động,15,15,9,9,0,4
Lazada,L3,Máy sấy chén dĩa,15,15,14,14,13,2
Lazada,L3,Kem Nền Trang Điểm,15,15,4,4,11,1
Lazada,L3,Dép & Sandal,15,15,5,5,0,6
Lazada,L3,Nội Thất Ngoài Trời,15,15,2,2,0,3
Lazada,L3,Nội Thất Bếp & Phòng Ăn,15,15,4,4,0,5
Lazada,L3,Mặt Nạ Lột & Tẩy Tế Bào,15,15,8,8,6,10
Lazada,L3,Quà Tặng & Đồ Dùng Gói Quà,15,15,10,10,0,2
Lazada,L3,Giá Treo Khăn,15,15,6,6,0,1
Lazada,L3,Bộ Nền Trang Trí,15,15,0,0,0,2
Lazada,L3,Tủ Chứa & Sắp Xếp Đồ,15,15,6,5,0,4
Lazada,L3,Ống Kính,15,15,1,1,0,3
Lazada,L3,Bếp điện,15,15,14,14,12,7
Lazada,L3,Máy Tính Tư Ráp,14,14,5,5,0,7
Lazada,L3,Bàn phím,14,14,14,14,13,1
Lazada,L3,Bộ vi xử lý,14,14,13,13,14,4
Lazada,L3,Dao Cạo,14,14,5,5,14,2
Lazada,L3,Điểm Nhấn Trang Trí,14,14,0,0,0,7
Lazada,L3,Kem Mắt,14,14,2,2,11,1
Lazada,L3,Phần mềm,14,14,14,14,14,13
Lazada,L3,Tủ lạnh,14,14,6,6,6,5
Lazada,L3,Charm Phụ Kiện Gắn Túi,14,14,2,2,1,5
Lazada,L3,Miếng dán màn hình điện thoại,14,14,14,14,14,2
Lazada,L3,Môi,14,14,10,10,11,3
Lazada,L3,Decal dán,14,14,14,14,13,1
Lazada,L3,Giá Phơi Quần Áo,14,14,2,4,0,6
Lazada,L3,Webcam,13,13,9,9,9,10
Lazada,L3,Đồ lót định hình,13,13,12,12,11,2
Lazada,L3,Micro quay phim,13,13,11,11,7,3
Lazada,L3,Thiết bị điều khiển qua cử chỉ,13,13,11,11,9,3
Lazada,L3,Phụ Kiện Chăm Sóc Tóc,13,13,4,4,12,0
Lazada,L3,Switch,13,13,0,0,8,0
Lazada,L3,Tivi thông minh,13,13,10,10,11,11
Lazada,L3,Áo khoác bé trai,13,13,0,0,9,0
Lazada,L3,Cánh và các bộ phận khác,13,13,9,9,10,3
Lazada,L3,"Giấy Dán Tường, Decal",13,13,11,11,0,1
Lazada,L3,Đèn flash,13,13,7,7,7,10
Lazada,L3,Tủ Quần Áo,13,13,3,3,0,4
Lazada,L3,Nội Thất Phòng Khách,13,13,4,4,0,6
Lazada,L3,Hệ Thống An Ninh Cctv,13,13,0,0,0,2
Lazada,L3,Xô Nhựa,12,12,7,7,0,5
Lazada,L3,Điều khiển từ xa,12,12,12,12,12,1
Lazada,L3,Túi đựng máy bay Camera,12,12,8,8,5,11
Lazada,L3,Nội Thất Phòng Ngủ,12,12,0,0,0,9
Lazada,L3,Thiết bị lưu trữ mạng NAS,12,12,2,2,4,9
Lazada,L3,Phấn Phủ,12,12,7,7,9,2
Lazada,L3,Máy tính một Board,12,12,9,9,9,1
Lazada,L3,Máy Khoan,12,12,8,7,0,3
Lazada,L3,Kem Dưỡng Ẩm Nam,12,12,10,10,12,3
Lazada,L3,Khăn Tắm,12,12,10,10,0,1
Lazada,L3,Dụng Cụ Sơ Cứu,12,12,0,0,11,0
Lazada,L3,Phụ Kiện Dụng Cụ Cầm Tay,12,12,6,6,0,2
Lazada,L3,Nắp ống kính,12,12,0,0,10,0
Lazada,L3,Camera An Ninh Cctv,12,12,2,2,0,3
Lazada,L3,Sữa Tắm,12,12,9,9,12,6
Lazada,L3,Kính lọc,12,12,11,11,12,3
Lazada,L3,Nước Hoa Hồng,12,12,8,8,10,7
Lazada,L3,Pin sạc dự phòng,12,12,12,12,12,6
Lazada,L3,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,11,11,9,9,0,2
Lazada,L3,Kem Đánh Răng,11,11,11,11,11,11
Lazada,L3,Ổ cứng gắn ngoài,11,11,0,0,5,0
Lazada,L3,Hệ thống lọc nước uống,11,11,7,7,7,7
Lazada,L3,Bảng vẽ,11,11,10,10,10,0
Lazada,L3,Gậy chụp ảnh,11,11,0,0,11,0
Lazada,L3,Làm Trắng Răng,11,11,11,11,11,5
Lazada,L3,Dầu Gội,11,11,7,7,11,3
Lazada,L3,RAM máy tính,11,11,0,0,8,0
Lazada,L3,Đồ gia dụng nhỏ,11,11,10,10,10,3
Lazada,L3,Router,11,11,0,0,9,0
Lazada,L3,Tivi Analog,11,11,10,10,9,4
Lazada,L3,Phụ Kiện Phòng Tắm,10,10,10,10,10,0
Lazada,L3,Loa thông minh,10,10,0,0,7,0
Lazada,L3,Đồ ngủ nữ,10,10,10,10,10,0
Lazada,L3,Bộ đàm,10,10,10,10,8,6
Lazada,L3,Tủ đông,10,10,6,6,6,2
Lazada,L3,Nước Rửa Phụ Khoa,10,10,9,9,9,3
Lazada,L3,Card mạng,10,10,0,0,9,0
Lazada,L3,Khử Mùi,10,10,8,8,10,4
Lazada,L3,Chăm Sóc Răng Miệng,10,10,7,7,9,4
Lazada,L3,Chăm Sóc Sức Khỏe,10,10,1,1,9,0
Lazada,L3,Pin Laptop,10,10,0,0,6,0
Lazada,L3,Chăm Sóc Tóc,10,10,5,5,9,4
Lazada,L3,Máy rửa chén,10,10,10,10,9,5
Lazada,L3,Bảo Vệ An Toàn,10,10,0,0,10,0
Lazada,L3,Phụ kiện Macbook,10,10,0,0,9,0
Lazada,L3,Túi bảo vệ Laptop,10,10,6,6,8,5
Lazada,L3,Ổ đĩa quang,10,10,4,4,3,4
Lazada,L3,Hệ Thống An Ninh Ip,10,10,0,0,0,4
Lazada,L3,Quạt (cho Case),10,10,4,4,4,4
Lazada,L3,Phụ Kiện Trang Điểm,10,10,2,2,10,2
Lazada,L3,Bo mạch chủ,9,9,5,5,4,3
Lazada,L3,Mules,9,9,4,4,3,7
Lazada,L3,Jeans,9,9,8,8,9,2
Lazada,L3,Vớ và quần vớ nữ,9,9,8,8,8,1
Lazada,L3,Giỏ Giặt Ủi,9,9,7,7,0,0
